"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 16:32:01 GMT 2024","Thu Oct 17 16:32:02 GMT 2024","1509","firefox","login.spec.ts","Test application login scenarios","","","Login with a valid user and check if the products page is shown correctly.",""
"passed","Thu Oct 17 16:32:05 GMT 2024","Thu Oct 17 16:32:05 GMT 2024","596","firefox","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username empty and password empty",""
"passed","Thu Oct 17 16:31:48 GMT 2024","Thu Oct 17 16:31:48 GMT 2024","342","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username locked_out_user and password secret_sauce",""
"passed","Thu Oct 17 16:32:12 GMT 2024","Thu Oct 17 16:32:15 GMT 2024","3377","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'About' menu option is redirecting to the correct website.",""
"passed","Thu Oct 17 16:31:51 GMT 2024","Thu Oct 17 16:31:52 GMT 2024","407","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item Logout consistency.",""
"passed","Thu Oct 17 16:31:53 GMT 2024","Thu Oct 17 16:31:55 GMT 2024","1284","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'Logout' menu option logs out the user and redirects to login form.",""
"passed","Thu Oct 17 16:31:59 GMT 2024","Thu Oct 17 16:31:59 GMT 2024","459","chromium","product-details.spec.ts","Test product page functionalities and information.","","","Assert if product description matches with the name in inventory list.",""
"passed","Thu Oct 17 16:31:47 GMT 2024","Thu Oct 17 16:31:47 GMT 2024","465","chromium","login.spec.ts","Test application login scenarios","","","Login with a valid user and check if the products page is shown correctly.",""
"passed","Thu Oct 17 16:32:06 GMT 2024","Thu Oct 17 16:32:07 GMT 2024","734","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item All Items consistency.",""
"passed","Thu Oct 17 16:32:16 GMT 2024","Thu Oct 17 16:32:17 GMT 2024","695","firefox","product-details.spec.ts","Test product page functionalities and information.","","","Assert if product price matches with the price in inventory list.",""
"skipped","Thu Oct 17 16:31:58 GMT 2024","Thu Oct 17 16:31:58 GMT 2024","0","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'Reset App State' menu option clears the shopping cart and reset the page DOM.",""
"passed","Thu Oct 17 16:31:49 GMT 2024","Thu Oct 17 16:31:49 GMT 2024","304","chromium","login.spec.ts","Test application login scenarios","","","Test invalid login scenarios with username empty and password empty",""
"passed","Thu Oct 17 16:31:55 GMT 2024","Thu Oct 17 16:31:58 GMT 2024","3774","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if the 'About' menu option is redirecting to the correct website.",""
"passed","Thu Oct 17 16:32:07 GMT 2024","Thu Oct 17 16:32:07 GMT 2024","589","firefox","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert menu item About consistency.",""
"passed","Thu Oct 17 16:31:58 GMT 2024","Thu Oct 17 16:31:59 GMT 2024","469","chromium","product-details.spec.ts","Test product page functionalities and information.","","","Assert if product name matches with the name in inventory list.",""
"passed","Thu Oct 17 16:31:52 GMT 2024","Thu Oct 17 16:31:53 GMT 2024","1336","chromium","navigation.spec.ts","Test navigation side menu scenarios.","","","Assert if 'All Items' menu option is working correctly.",""
"passed","Thu Oct 17 16:32:00 GMT 2024","Thu Oct 17 16:32:00 GMT 2024","552","chromium","product-details.spec.ts","Test product page functionalities and information.","","","Assert if ""Remove"" button inside product page removes the added item from shopping cart.",""
"passed","Thu Oct 17 16:32:17 GMT 2024","Thu Oct 17 16:32:18 GMT 2024","771","firefox","product-details.spec.ts","Test product page functionalities and information.","","","Assert if ""Remove"" button inside product page removes the added item from shopping cart.",""
